"filename", "language", "TypeScript", "HTML", "comment", "blank", "total"
"/var/www/html/dev/trash/ngrx-example-transformed.transformed/src/app/app.module.ts", "TypeScript", 0, 0, 0, -1, -1
"/var/www/html/dev/trash/ngrx-example-transformed.transformed/src/app/catalog/containers/catalog-page/catalog-page.component.html", "HTML", 0, 0, 0, -1, -1
"/var/www/html/dev/trash/ngrx-example-transformed.transformed/src/app/catalog/services/catalog.service.ts", "TypeScript", -2, 0, 0, -1, -3
"Total", "-", -2, 0, 0, -3, -5
