"filename", "language", "TypeScript", "comment", "blank", "total"
"/var/www/html/dev/trash/ngrx-example-transformed.transformed/src/app/catalog/services/catalog.service.ts", "TypeScript", 0, 0, -2, -2
"Total", "-", 0, 0, -2, -2
